PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 10 19 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,22 58 26.16,-33 31 27.1 #Field centre
UTTIME,10 44 32.00 #Target observing time
UTDATE,2022 10 26 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,342670281300150,-162.09647529300315,35.061574213492285,165.800651522447,-1.16815077594924,-0.212640346653362,5.32767487788371,343.782637931986,-33.6686292490089,17.9033731812706,17.537388915513,17.1410816628753,17.316943337768,0.0,0.0,0.0,0.0,9.03232725151268,5.95859710417792,0.0277,22.6559837033052,0.0,0.0,1,-186757.827371156,-32643.5213846119,1,-162066.34,34990.82,-99,P,rectangular_magnet,R01,1,I,1.0,G,-23.069890703176327,5.32767487788371,circular_magnet,Yel,1,TR,0.0769044511799999,0.0
2,342670319704779,-172.56593362161,-67.8758877352157,185.450508687539,3.57265717993389,0.374750556627989,3.1979066233059,343.737508683571,-33.2328840622828,16.6148698100113,16.2472424110576,16.0456057606799,15.9556609177703,0.0,0.0,0.0,0.0,9.92112315034176,2.45045050747187,0.05524,19.4363467695603,0.0,0.0,1,-196957.037512954,65834.8908154872,1,-172580.05,-67882.38,-99,P,rectangular_magnet,R02,1,I,2.0,P,65.30182194267735,3.1979066233059,circular_magnet,Yel,1,TR,0.0155377488999999,0.0
3,342670195802149,-143.16029951263062,-9.591005190375474,143.515752731002,3.42627104442359,0.0669481611702047,3.35932288325339,343.878337087154,-33.4800739807527,16.778583381472,16.2694291212556,15.997429275463,15.801914567386,0.0,0.0,0.0,0.0,10.0884841988121,4.81031139205579,0.05519,20.9231697581181,0.0,0.0,1,-165129.818303186,9969.9692412898,1,-143194.25,-9600.94,-99,P,rectangular_magnet,R03,1,I,3.0,Q,73.6891296866477,3.35932288325339,circular_magnet,Gre,1,TR,0.0353742283999999,0.0
4,343671100506557,-108.42558620289972,-107.57399718836284,152.736904005226,2.37153959810886,0.781136905519791,1.59040269258907,344.059540982313,-33.0647461523723,16.6489724121646,15.843190479257,15.4955998668707,15.255800184491,0.0,0.0,0.0,0.0,10.5644095252029,2.67945731406982,0.0561,19.2262993748478,0.0,0.0,1,-124177.737997252,103834.05845526,1,-108460.54,-107540.1,-99,P,rectangular_magnet,R04,1,I,4.0,R,134.1207900802109,1.59040269258907,circular_magnet,Yel,1,TL,0.04869073126,0.0
5,343670851006652,-52.99180906844576,-109.32458210413718,121.470009376621,2.01348509463043,1.11923497049777,0.894250124132659,344.339903564693,-33.0566959429758,16.1801847293459,15.4814112136203,15.1753822447798,14.9796892895178,0.0,0.0,0.0,0.0,10.5745760345715,4.38105705505853,0.0552,19.9321804407897,0.0,0.0,1,-60815.7943793833,105653.405778869,1,-53005.98,-109294.69,-99,P,rectangular_magnet,R05,1,I,5.0,S,154.6358019651772,0.894250124132659,circular_magnet,Gre,1,TL,0.0330810095199999,0.0
6,343670936209501,-72.61645636055533,-173.9924018565885,188.520992647579,2.55824322411831,1.17495000101086,1.38329322310745,344.245263461231,-32.7881881211313,17.8404515886953,17.5028687822628,17.2918132195512,17.2567444413792,0.0,0.0,0.0,0.0,8.83823046465043,6.6126770592606,0.02826,22.8476300327534,0.0,0.0,1,-82204.4577617917,166336.173515726,1,-72691.66,-173942.77,-99,P,rectangular_magnet,R06,1,I,6.0,D,123.42346029008044,1.38329322310745,circular_magnet,Yel,1,TL,0.0901049863999998,0.0
7,343670667805507,-12.513384533529033,-83.95660970689528,84.7812578719642,1.67570997859254,1.42252643825111,0.253183540341428,344.545666682301,-33.1647748417271,16.253184853254,15.4180325668534,15.0548644657519,14.8086421397451,0.0,0.0,0.0,0.0,10.7617570852251,3.58155449209435,0.0554,19.4312650645037,0.0,0.0,1,-14313.3297999751,81227.5746610749,1,-12524.5,-83851.05,-99,P,rectangular_magnet,R07,1,I,7.0,E,173.98889053868993,0.253183540341428,circular_magnet,Blu,1,TR,0.1061433243999999,0.0
8,343670425104192,40.79206978879168,-55.02817238728088,68.4706494633489,1.21192536179569,2.20933972899071,5.28577093998456,344.818990928393,-33.2884231428494,17.5724348879832,16.6709894649043,16.2777501164234,16.0125448207468,0.0,0.0,0.0,0.0,10.705550542992,5.39161532937031,0.0861,21.5724586437537,0.0,0.0,1,47457.9498168271,53283.0586074347,1,40810.32,-54979.52,-99,P,rectangular_magnet,R08,1,I,8.0,T,-159.43820831575837,5.28577093998456,circular_magnet,Blu,1,TR,0.0519627269999999,0.0
9,343670406406900,45.00507008843019,-115.03616981881056,123.489999199952,1.15365107961075,1.94401331910392,5.49282306768641,344.839360227093,-33.0333840337517,16.969399203553,16.0603963758752,15.7059250806637,15.4731183481831,0.0,0.0,0.0,0.0,10.9107554287208,2.99090333904549,0.08591701,19.682282945573,0.0,0.0,1,52061.4113230183,110921.897263515,1,45026.04,-114988.85,-99,P,rectangular_magnet,R09,1,I,9.0,F,-156.0993378924069,5.49282306768641,circular_magnet,Gre,1,TR,0.05175811476,0.0
10,343670276108432,74.13749936583116,-149.83417642278843,167.151788794847,0.829795943793227,2.03059236548312,5.08238888548969,344.985081891452,-32.88876004479,18.2743947312711,17.9243971657808,17.7505871605034,17.6894919306389,0.0,0.0,0.0,0.0,8.69115473963272,2.66142740807665,0.0301,21.2928449727414,0.0,0.0,1,84994.5074681591,143606.918768861,1,74176.17,-149791.91,-99,P,rectangular_magnet,R10,1,I,10.0,K,-137.5438054364268,5.08238888548969,circular_magnet,Yel,1,TR,0.0572875941399999,0.0
