PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 09 08 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,01 12 15.60,-31 08 06.0 #Field centre
UTTIME,15 23 38.00 #Target observing time
UTDATE,2022 09 19 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,17691284410626,-6.503257800229605,-55.49576645936173,55.8601565991369,1.6089191748519,1.45410071926657,0.154818455585331,18.032531450375,-30.896639541858,0.0,18.2336241738999,0.0,0.0,0.0,0.0,0.0,0.0,8.673944056499,1.81000800830664,0.0357,20.7649013375936,0.0,0.0,1,-7337.89221525028,53866.952431492,1,-6503.85,-55480.24,-99,P,rectangular_magnet,R01,1,I,1.0,P,177.8157217033152,0.154818455585331,circular_magnet,Blu,1,TR,0.0155377488999999,0.0
2,16700219901822,-60.61423375375808,-118.11507470992215,132.76702658132,-0.607285920006014,1.09704719383941,4.57885219333417,17.7649885625198,-30.6307062851947,0.0,16.009490611488,0.0,0.0,0.0,0.0,0.0,0.0,9.56325806469173,3.57853719041509,0.0355,20.020892968401,0.0,0.0,1,-67802.5848705254,113967.868437398,1,-60571.73,-118144.61,-99,P,rectangular_magnet,R02,1,I,2.0,F,-55.20507982593608,4.57885219333417,circular_magnet,Gre,1,TR,0.05175811476,0.0
3,16690595711002,-93.13825962581107,-62.49472641931857,112.166845930323,5.24136239303797,0.591673171688644,4.64968922134932,17.6013051665899,-30.866505991815,0.0,14.6311198368242,0.0,0.0,0.0,0.0,0.0,0.0,10.2567148659998,16.1606071993609,0.0538,21.916282890597,0.0,0.0,1,-104795.032350683,60677.1347412101,1,-93099.45,-62561.12,-99,P,rectangular_magnet,R03,1,I,3.0,G,-30.30794401966505,4.64968922134932,circular_magnet,Gre,1,TR,0.0769044511799999,0.0
4,16690491904451,-72.10426731144183,64.90839545949245,96.9830257793337,5.91216654168658,-0.733055756645745,0.362036991152744,17.7032444246247,-31.4122970139668,0.0,18.4426368902216,0.0,0.0,0.0,0.0,0.0,0.0,8.77374774362382,2.08214175307153,0.0355,21.2780630376016,0.0,0.0,1,-81756.7600348182,-62671.6362650966,1,-72071.3,64895.57,-99,P,rectangular_magnet,R04,1,I,4.0,Q,-68.7421906170967,0.362036991152744,circular_magnet,Gre,1,TR,0.0353742283999999,0.0
5,16680390312827,-32.25965153355682,112.18442168302649,116.745078510351,6.2783182961215,-1.29097762475897,1.28611061370088,17.9030941387413,-31.6141120786583,0.0,17.9362924752382,0.0,0.0,0.0,0.0,0.0,0.0,8.45561509718866,3.76730398692537,0.0284,22.0593204829935,0.0,0.0,1,-36590.7246444668,-108281.840885376,1,-32242.82,112204.34,-99,P,rectangular_magnet,R05,1,I,5.0,O,-89.72114080752817,1.28611061370088,circular_magnet,Gre,1,TL,0.0167343919199998,0.02
6,17690587106071,129.31234058938182,33.773233018641406,133.722340589974,-0.230764476918857,3.39677553185531,2.65564529840542,18.7101308712167,-31.2774113204262,0.0,18.0110349661476,0.0,0.0,0.0,0.0,0.0,0.0,8.28137531336084,1.56719230097899,0.0215,20.2295210952227,0.0,0.0,1,145799.576894974,-32187.4695249211,1,129392.03,33754.51,-99,P,rectangular_magnet,R06,1,I,6.0,L,-76.77816941100542,2.65564529840542,circular_magnet,Gre,1,TR,0.0818593524999998,0.0
7,17690619507641,122.99060297496986,2.975412275615542,123.033880239583,1.43393859578161,3.16614453688774,4.55097936607345,18.6784310405411,-31.1466012523509,0.0,18.4002687081628,0.0,0.0,0.0,0.0,0.0,0.0,8.39383141116998,3.00131469828597,0.0278,22.0297010653955,0.0,0.0,1,138635.415162288,-2624.3941399036,1,122996.8,3020.41,-99,P,rectangular_magnet,R07,1,I,7.0,M,-172.158629619202,4.55097936607345,circular_magnet,Gre,1,TR,0.0454224428999999,0.0
8,17690912512621,66.1420874074681,-94.356264111232,115.208504834778,1.58711636254161,2.18230581595072,5.68799585377048,18.394042442274,-30.7314728327875,0.0,15.5343884825067,0.0,0.0,0.0,0.0,0.0,0.0,9.22844084239545,3.91658734347877,0.0206,19.7418022449953,0.0,0.0,1,74363.5919539236,91194.6286814252,1,66141.67,-94330.69,-99,P,rectangular_magnet,R08,1,I,8.0,I,179.0649308302107,5.68799585377048,circular_magnet,Gre,1,TR,0.0255775173599999,0.0
9,17691011613336,46.859803858037935,-108.48937333798946,118.102026425387,1.19135007394668,1.97915861960183,5.49537676152444,18.2981615792654,-30.6717077722817,0.0,17.017090097645,0.0,0.0,0.0,0.0,0.0,0.0,9.21073263224818,2.40059689029504,0.0355,20.1615609752956,0.0,0.0,1,52694.5169139802,104701.532355736,1,46899.12,-108390.78,-99,P,rectangular_magnet,R09,1,I,9.0,E,-158.25933115974328,5.49537676152444,circular_magnet,Gre,1,TR,0.1061433243999999,0.0
10,17691118207075,25.358442511915484,13.464656393668657,28.7387680251224,1.46405420159519,3.63111402434552,4.11612548442925,18.1926535469505,-31.1931501164785,0.0,17.7765418568032,0.0,0.0,0.0,0.0,0.0,0.0,8.78368985177177,2.61932989035324,0.033,21.1103675330275,0.0,0.0,1,28849.7016108125,-13144.4374327406,1,25363.63,13513.07,-99,P,rectangular_magnet,R10,1,I,10.0,R,-173.8841267297998,4.11612548442925,circular_magnet,Blu,1,TR,0.04869073126,0.0
