PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2022 07 22 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,00 45 58.34,-29 52 56.4 #Field centre
UTTIME,18 29 26.00 #Target observing time
UTDATE,2022 07 27 #Target observing date
PLATEID,1
LABEL,test
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,10700230309703,92.85636139741524,21.591061056932293,95.2629156468901,3.86808859740972,3.36965115032997,0.498437447079751,11.9518895459821,-29.9740215805667,0.0,16.7514781669209,0.0,0.0,0.0,0.0,0.0,0.0,9.79089232475177,8.4820003294118,0.059918992,22.6368442736072,0.0,0.0,8,103688.424450322,-20722.8350173249,1,92796.29,21537.68,-99,P,rectangular_magnet,R01,1,I,1.0,A,48.374848585744814,0.498437447079751,circular_magnet,Gre,1,TR,0.0803623669799998,0.0
2,11710874702788,172.93957959988666,-77.90836231103991,189.692781294229,4.59361508611856,2.7180825443913,1.87553254172725,12.3326983274688,-29.5509324775822,0.0,17.1807641146435,0.0,0.0,0.0,0.0,0.0,0.0,9.15861835730219,2.10135646424474,0.0382,20.0361374480399,0.0,0.0,8,189751.209066316,74895.3022571717,1,172933.81,-77956.71,-99,P,rectangular_magnet,R02,1,I,2.0,R,6.805242857782332,1.87553254172725,circular_magnet,Yel,1,RO,0.04869073126,0.0
3,12701321204694,123.6189548341655,120.31791500013875,172.556244135786,0.216762764373218,3.91327588035386,2.58667219119895,12.0999377773324,-30.3908363469361,0.0,16.2435790508225,0.0,0.0,0.0,0.0,0.0,0.0,9.17569328098495,5.31778187874031,0.0296,21.1151063313432,0.0,0.0,8,137147.32473549,-114922.97221681,1,123677.6,120330.83,-99,P,rectangular_magnet,R03,1,I,3.0,B,-102.41959155417412,2.58667219119895,circular_magnet,Yel,1,TL,0.0600504179599999,0.0
4,10710795307811,-38.07851797663487,-177.1220741855424,181.193022095798,-1.43321188349216,1.35908320528462,3.4908902184028,11.3091297196699,-29.1324277217132,0.0,17.7179162483164,0.0,0.0,0.0,0.0,0.0,0.0,8.61643531733244,2.8950814520809,0.0279,21.2690948648278,0.0,0.0,8,-41575.2962962354,169477.377083566,1,-38075.01,-177147.41,-99,P,rectangular_magnet,R04,1,I,4.0,I,-7.883007927903748,3.4908902184028,circular_magnet,Yel,1,TL,0.0255775173599999,0.0
5,9710105004012,-128.00085475179705,-101.86804399740438,163.598568533377,-1.07081991149227,0.672539062057186,4.53982633363013,10.8694278736141,-29.4478286722801,0.0,18.1053353809774,0.0,0.0,0.0,0.0,0.0,0.0,7.77684866959659,2.44566639341995,0.0126,21.2901961418764,0.0,0.0,8,-140947.913504846,98196.7622554466,1,-127973.74,-101917.68,-99,P,rectangular_magnet,R05,1,I,5.0,J,-28.646538452920595,4.53982633363013,circular_magnet,Yel,1,TR,0.05655919482,0.0
6,10711041102315,-85.41055484033572,-68.07252787948678,109.233513868409,-1.21846142959307,0.673305899290907,4.39141797829561,11.0731760645194,-29.5900520382447,0.0,18.0533002844139,0.0,0.0,0.0,0.0,0.0,0.0,8.48372216659422,1.90194957564828,0.0274,20.6921699599974,0.0,0.0,8,-94900.8223602483,66054.2815474469,1,-85394.88,-68115.16,-99,P,rectangular_magnet,R06,1,I,6.0,M,-20.18730258484038,4.39141797829561,circular_magnet,Gre,1,TR,0.0454224428999999,0.0
7,9710263105939,-160.9908477628312,-140.84650990160227,213.924541680697,2.65506687704463,0.718531976145052,1.93653490089958,10.7174862985762,-29.2878092922006,0.0,17.0112445368124,0.0,0.0,0.0,0.0,0.0,0.0,9.41108272379238,2.4465736605177,0.0431,20.1969106978846,0.0,0.0,8,-175286.709463412,134361.142153414,1,-161036.6,-140822.31,-99,P,rectangular_magnet,R07,1,I,7.0,F,117.87587362036282,1.93653490089958,circular_magnet,Mag,1,TL,0.05175811476,0.0
8,10711304704951,-138.4055906254815,-120.70407464286949,183.660976431399,-1.13138318589919,0.71748741748225,4.43431470379814,10.8218284588529,-29.3695443083786,0.0,17.9030354920613,0.0,0.0,0.0,0.0,0.0,0.0,8.03969632169753,1.90396665217019,0.0135,20.5442068611994,0.0,0.0,8,-151705.381240877,115889.028497185,1,-138381.22,-120755.92,-99,P,rectangular_magnet,R08,1,I,8.0,K,-25.17651843591136,4.43431470379814,circular_magnet,Yel,1,TR,0.0572875941399999,0.0
9,10710577007674,4.959752924131204,-174.20632272500475,174.350527767238,4.12609710398298,1.59896113511479,2.52713596886819,11.5174049998882,-29.1438238537246,0.0,17.0766650340021,0.0,0.0,0.0,0.0,0.0,0.0,8.98877042163497,3.51052797845098,0.027,21.0464019090123,0.0,0.0,8,5494.91703310054,166901.851248989,1,4909.9,-174281.38,-99,P,rectangular_magnet,R09,1,I,9.0,D,33.592050080623665,2.52713596886819,circular_magnet,Yel,1,TR,0.0901049863999998,0.0
10,9710405704308,-189.16409558874776,-108.21182659191317,217.967089322015,-1.54116081464951,0.519947835441151,4.22207665708892,10.5816147309862,-29.4240777088708,0.0,18.5353178818355,0.0,0.0,0.0,0.0,0.0,0.0,8.35998196528278,1.62189864529266,0.0299,20.8283111188483,0.0,0.0,8,-205993.683738751,103564.479985948,1,-189161.67,-108293.65,-99,P,rectangular_magnet,R10,1,I,10.0,L,-1.697989769639321,4.22207665708892,circular_magnet,Mag,1,TR,0.0818593524999998,0.0
