LABEL,test
PLATEID,1
UTDATE,2021 12 06 #Target observing date
UTTIME,16 00 00.00 #Target observing time
CENTRE,08 42 00.00,+01 01 48.0 #Field centre
EQUINOX,J2000.0
MDLPARS,0,0,-1,0,1,0,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-1086.367969,1926.071753,0,0,0
ROBOT_TEMP,288.149994
OBS_TEMP,288.149994
TILING_DATE,2021 12 12 # Date the tile was created/configured
PROXIMITY,220 # tiling proximity value in arcseconds
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,300821,126.02892972234702,-43.33702484028187,133.2750472783,1.16955438573278,2.81073309823783,4.64200659467454,131.03734,1.214345,,-99.0,,,,,,,8.81999969482422,3.19946026802063,,21.2399997711182,,,1,121438.84,41661.97,1,126046.67,-43295.21,-99,P,rectangular_magnet,R01,1,I,1.0,M,-157.0105302135039,4.64200659467454,circular_magnet,Gre,1,TR,0.0454224428999999,0.0
2,323194,74.06431074000012,-106.5383976235056,129.743276117018,0.785871688188752,2.17872059646319,4.89033639890515,130.8163,1.484095,,-99.0,,,,,,,8.60999965667725,2.82209157943726,,21.5200004577637,,,1,71483.8000000028,102625.47,1,74104.8,-106497.87,-99,P,rectangular_magnet,R02,1,I,2.0,K,-135.02713097203667,4.89033639890515,circular_magnet,Gre,1,TR,0.0572875941399999,0.0
3,323224,114.94132301654582,-130.83847381819416,174.197120276223,4.39248161825039,2.29119856655792,2.10128305169246,130.98705,1.584293,,-99.0,,,,,,,8.60999965667725,3.04320573806763,,21.8299999237061,,,1,110073.300000002,125270.218,1,114915.58,-130916.18,-99,P,rectangular_magnet,R03,1,I,3.0,L,18.329341685458985,2.10128305169246,circular_magnet,Yel,1,TL,0.0818593524999998,0.0
4,278390,105.11259972672477,44.83542149597884,114.228155058368,3.78655935494908,3.54467048874604,0.241888866203034,130.94885,0.838444,,-99.0,,,,,,,10.5100002288818,12.1342325210571,,21.7800006866455,,,1,101440.099999998,-43291.656,1,105073.69,44806.15,-99,P,rectangular_magnet,R04,1,I,4.0,R,53.04613008563848,0.241888866203034,circular_magnet,Gre,1,TR,0.04869073126,0.0
5,214363,-125.39829531772456,141.58078977091478,189.120695221164,0.386027783780931,-0.846064992341532,1.23209277612246,129.97058,0.432427,,-99.0,,,,,,,10.9899997711182,5.63630437850952,,21.5,,,1,-119648.919999997,-135051.498,1,-125374.6,141590.42,-99,P,rectangular_magnet,R05,1,I,5.0,I,-112.11776278543589,1.23209277612246,circular_magnet,Yel,1,TL,0.0255775173599999,0.0
6,599310,112.21046752423636,160.6866626862664,195.982812592064,2.62275409545001,4.10309758394077,4.80284181868883,130.97246,0.352432,,-99.0,,,,,,,10.8800001144409,6.2644419670105,,21.3999996185303,,,1,106775.960000003,-153130.368,1,112158.32,160716.44,-99,P,rectangular_magnet,R06,1,I,6.0,B,119.72725963006206,4.80284181868883,circular_magnet,Yel,1,TR,0.0600504179599999,0.0
7,300787,101.63776717119028,-11.51242331718678,102.279778854827,4.06530129131394,3.02867347958055,1.03662781173339,130.93495,1.079188,,-99.0,,,,,,,10.3199996948242,2.78187084197998,,20.8099994659424,,,1,98298.6999999969,11116.488,1,101628.4,-11524.82,-99,P,rectangular_magnet,R07,1,I,7.0,P,37.07539355862747,1.03662781173339,circular_magnet,Gre,1,TL,0.0155377488999999,0.0
8,371172,-0.8360090051514208,2.802716062173696,2.99859839066521,1.57445015267237,-1.2881544895198,2.86260464219217,130.4963,1.017279,,-99.0,,,,,,,11.1599998474121,3.17384457588196,,21.5900001525879,,,1,-836.200000002066,-2874.946,1,-836.29,2879.62,-99,P,rectangular_magnet,R08,1,I,8.0,G,179.7906511981451,2.86260464219217,circular_magnet,Blu,1,TR,0.0769044511799999,0.0
9,375560,-147.2635474328582,-47.76953281993666,154.78929241702,-0.937598512127978,0.314224804235762,5.03136199081585,129.87422,1.233444,,-99.0,,,,,,,11.1099996566772,5.89532852172852,,21.6000003814697,,,1,-141426.279999998,45978.344,1,-147210.23,-47842.17,-99,P,rectangular_magnet,R09,1,I,9.0,D,-36.279562377321554,5.03136199081585,circular_magnet,Yel,1,TR,0.0901049863999998,0.0
10,278350,-11.891257108257667,49.063592184817566,50.4792053757505,3.44033570625841,-1.33142809935165,4.77176380561006,130.4485,0.819336,,-99.0,,,,,,,11.2299995422363,7.26705026626587,,22.8199996948242,,,1,-11639.000000001,-47610.064,1,-11968.06,49039.94,-99,P,rectangular_magnet,R10,1,I,10.0,A,72.88328392323365,4.77176380561006,circular_magnet,Blu,1,TR,0.0803623669799998,0.0
