PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 04 14 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,12 19 23.69,+01 08 56.5 #Field centre
UTTIME,12 19 12.00 #Target observing time
UTDATE,2023 04 23 #Target observing date
PLATEID,1
LABEL,G12_T035
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,186000167211964,140.05668824886638,55.19791314807773,150.550847916588,-0.534354189101804,3.51693074885515,2.23190036922263,185.444077660203,0.913590378109603,19.4973608472437,18.8851616653389,18.7063535665458,18.6035398610109,0.0,0.0,0.0,0.0,8.78010656405231,2.0117193724357,0.0419499985873699,21.6458733375851,0.0,0.0,8,134556.446444004,-53210.9665065176,1,140070.06,55190.0,-99,P,rectangular_magnet,R01,1,I,1.0,P,-59.38376019933117,2.23190036922263,circular_magnet,Yel,1,TL,0.0155377488999999,0.0
2,186010379309937,98.5819541907334,-140.55865300562917,171.758288709025,-1.54586938383236,2.18214277400882,2.5551731493384,185.267411257843,1.74468785488993,16.2673727571025,15.6391816039987,15.2707964263618,15.1242773487803,0.0,0.0,0.0,0.0,10.835592195824,4.92943228959167,0.0795999988913536,20.3460408134644,0.0,0.0,8,94629.8395106476,134617.063245836,1,98584.2,-140648.73,-99,P,rectangular_magnet,R02,1,I,2.0,D,-1.4282086279166606,2.5551731493384,circular_magnet,Yel,1,TR,0.0901049863999998,0.0
3,185010253803388,-111.54945300782109,-11.48729783164672,112.093980383695,-0.867666007705962,0.103209185231195,5.31231011424243,184.371946076016,1.19893584768071,17.7428199844718,17.3389947295341,17.1694101652031,17.1209900089493,0.0,0.0,0.0,0.0,8.62090238942276,5.90324544398199,0.0203000009059906,22.4373236143066,0.0,0.0,8,-107745.291582256,11277.1096165526,1,-111497.49,-11548.6,-99,P,rectangular_magnet,R03,1,I,3.0,A,-40.28639973148279,5.31231011424243,circular_magnet,Gre,1,TR,0.0803623669799998,0.0
4,186010187410019,136.9446982644249,-143.08414890137158,198.061651664019,0.717599286210169,2.33468651888808,4.66609807450167,185.42739598498,1.75149135014228,18.9291196196994,18.6388991410272,18.4229670737645,18.4109333930007,0.0,0.0,0.0,0.0,8.39424415977067,3.24138149158715,0.0295599997043609,22.4354245625287,0.0,0.0,8,130786.387843607,136154.653172867,1,137006.37,-143030.32,-99,P,rectangular_magnet,R04,1,I,4.0,L,-131.1154104814431,4.66609807450167,circular_magnet,Mag,1,TR,0.0818593524999998,0.0
5,186000594005395,57.12717689287384,185.61242990721652,194.21423687045,2.65899286603222,4.41407497844264,4.52810319476917,185.088376494138,0.366208140881446,15.6854619060189,15.4873245848131,15.4050913498775,15.4084085361802,0.0,0.0,0.0,0.0,7.49664036753127,15.6224182245721,0.0031099999323487,22.6989405667198,0.0,0.0,8,54167.9829133166,-176919.352120081,1,57081.33,185636.45,-99,P,rectangular_magnet,R05,1,I,5.0,F,117.65093102095906,4.52810319476917,circular_magnet,Yel,1,TR,0.05175811476,0.0
6,186000919108779,-7.248881514935718,117.27355422288952,117.491281978423,-0.026015120185245,-1.50965447151883,1.48363935133359,184.817447879223,0.64820471292862,17.3723480673702,16.8306728100035,16.5840117023732,16.4441533084082,0.0,0.0,0.0,0.0,9.06835285764711,5.48923255104269,0.0218000002205371,21.7711056419078,0.0,0.0,8,-7061.8840574719,-113188.12683742,1,-7179.16,117271.74,-99,P,rectangular_magnet,R06,1,I,6.0,C,-88.50944340985984,1.48363935133359,circular_magnet,Gre,1,TL,0.0697451148799999,0.0
7,186010821603601,11.544533451376752,-15.709544431531008,19.5033852547295,5.72755933502664,2.2058173702009,3.52174196482574,184.898686834231,1.21670874025249,17.5155446113758,17.1346233181894,16.9175697305225,16.8507184022186,0.0,0.0,0.0,0.0,8.77223445192956,4.28639857308946,0.0210999995470047,21.5379607583784,0.0,0.0,8,11298.1197743338,15293.7833377749,1,11569.3,-15701.38,-99,P,rectangular_magnet,R07,1,I,7.0,O,-58.16497680778275,3.52174196482574,circular_magnet,Blu,1,TR,0.0167343919199998,0.02
8,185010599604347,-180.9104001514921,-30.468116687128692,183.461231798608,4.8152623948336,0.167114625026801,4.6481477698068,184.083728506638,1.27887473277831,16.8640126562104,16.0462848977736,15.6734254988427,15.4537656945711,0.0,0.0,0.0,0.0,10.7566178587765,2.31244659340719,0.0746000036597251,19.1095181363883,0.0,0.0,8,-172882.462261682,29343.2976486102,1,-180905.4,-30516.55,-99,P,rectangular_magnet,R08,1,I,8.0,R,-5.89421247202273,4.6481477698068,circular_magnet,Yel,1,TR,0.04869073126,0.0
9,186010019306774,169.9913205990554,-78.91864485183493,187.395536860915,1.34433503280414,2.70749857885557,4.92002176112815,185.567462679578,1.48105239108514,18.4939560612012,18.0814566772122,17.879993399017,17.8247633824153,0.0,0.0,0.0,0.0,8.7171347563662,1.97588707698827,0.0306000001728534,20.8031419629327,0.0,0.0,8,162441.460822756,75035.4484259538,1,170014.87,-78816.44,-99,P,rectangular_magnet,R09,1,I,9.0,N,-167.0247236312583,4.92002176112815,circular_magnet,Yel,1,TR,0.10488282044,0.0
10,185010290507934,-119.42224402825592,-100.68881539863482,156.216285759377,5.05533847511171,0.700692159650792,4.35464631546091,184.341416756429,1.57776362111239,16.7333473457411,15.9091561868207,15.5467126486284,15.3554402002042,0.0,0.0,0.0,0.0,10.8067503945569,3.85668953608441,0.0747999995946884,20.0831042661631,0.0,0.0,8,-114644.917808919,96892.1864121122,1,-119411.12,-100719.97,-99,P,rectangular_magnet,R10,1,I,10.0,S,-19.649558634002343,4.35464631546091,circular_magnet,Yel,1,TR,0.0330810095199999,0.0
