PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2024 02 27 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,14 18 49.11,-00 16 26.2 #Field centre
UTTIME,17 12 17.00 #Target observing time
UTDATE,2024 03 09 #Target observing date
PLATEID,G15_T220
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,W215990033510889,202.0192831461834,-23.673733123060057,203.410950105957,-1.52475170191065,3.02466126380038,1.73377234146855,215.555434669628,-0.175953520124439,18.2298057792408,17.7109846286151,17.4871538774806,17.3730456262055,0.0,0.0,0.0,0.0,8.9221961658334,2.93448978051749,0.0291000008583068,21.2915223173687,0.0,0.0,8,192287.436952011,22144.5797380344,1,202021.92,-23730.96,-99,P,rectangular_magnet,R01,1,I,1.0,K,-2.6381626751303884,1.73377234146855,circular_magnet,Mag,1,TL,0.0572875941399999,0.0
2,W215991049811875,0.8129427557478796,-41.950912066764225,41.8896050476702,1.46323753510079,1.59038310637835,6.15603973590202,214.708551114456,-0.0937972587630692,15.9103937074526,15.3276466730128,15.0266141865122,15.1032197079088,0.0,0.0,0.0,0.0,10.5111396378807,5.53218654641422,0.0527665019035339,20.2850054356441,0.0,0.0,8,891.75348313637,40711.894805704,1,820.43,-41881.57,-99,P,rectangular_magnet,R02,1,I,2.0,C,-173.83733518640094,6.15603973590202,circular_magnet,Blu,1,TR,0.0697451148799999,0.0
3,W214990804607629,-187.50614967350535,41.54192204064733,192.057275753013,1.43839843836462,-0.218297501120981,1.6566959394856,213.912872444628,-0.447624497062061,17.1287637051316,16.2548675912494,15.8789425929734,15.5898334246124,0.0,0.0,0.0,0.0,10.8193641877715,2.99172443113751,0.0846000015735626,19.8773502130178,0.0,0.0,8,-178931.62589799,-39253.0610498681,1,-187499.29,41593.43,-99,P,rectangular_magnet,R03,1,I,3.0,T,-172.4141597765012,1.6566959394856,circular_magnet,Yel,1,TL,0.0519627269999999,0.0
4,W215991141602719,-16.760505152437318,136.89253566209217,137.906776895296,-0.121993396206518,-1.449199961137,1.32720656493048,214.63201271715,-0.856769386506547,16.135397267326,15.2763786026128,14.8660105181299,14.6372481948812,0.0,0.0,0.0,0.0,10.8011929361796,4.37210173812015,0.050000000745058,19.722704581146,0.0,0.0,8,-16405.9243080186,-131719.806064322,1,-16727.67,136888.51,-99,P,rectangular_magnet,R04,1,I,4.0,S,-83.01029326889926,1.32720656493048,circular_magnet,Gre,1,TL,0.0330810095199999,0.0
5,W215990487903968,111.4247005730468,112.41307484912086,158.353719449965,1.15840385845791,3.93158921897595,3.50999994666154,215.176804642758,-0.752703111343909,16.9643730395429,16.6327752032026,16.4145989556986,16.3674748564431,0.0,0.0,0.0,0.0,9.23531601814339,6.71235435486495,0.0297999996691942,22.0100242622267,0.0,0.0,8,106717.050879388,-108200.827877566,1,111456.91,112486.7,-99,P,rectangular_magnet,R05,1,I,5.0,A,-156.37165206130825,3.50999994666154,circular_magnet,Yel,1,TR,0.0803623669799998,0.0
6,W216000595900157,89.18000961599344,-47.732717419082846,101.149211739535,4.18552315310571,2.64970321256287,1.53581994054284,215.086787366597,-0.0702727539503858,18.3122381048174,17.9054105699879,17.7023943749169,17.6380361240772,0.0,0.0,0.0,0.0,8.98112069420142,1.83572216100068,0.0384999997913837,20.4673200056705,0.0,0.0,8,86373.1464670074,46028.4328933705,1,89157.17,-47771.98,-99,P,rectangular_magnet,R06,1,I,6.0,M,30.187188272754128,1.53581994054284,circular_magnet,Gre,1,TL,0.0454224428999999,0.0
7,W215990583803169,92.63666015409642,128.10813522720755,158.19420936859,1.23556494682803,4.08651116083918,3.43223909316843,215.096883308152,-0.819287190423131,16.2782500488765,15.6316139709841,15.2858204676307,15.1060824158131,0.0,0.0,0.0,0.0,10.8690842090266,4.17710731407205,0.0838000029325485,19.9788668170635,0.0,0.0,8,88654.829258436,-123248.82974947,1,92671.58,128208.37,-99,P,rectangular_magnet,R07,1,I,7.0,E,-160.7926567675521,3.43223909316843,circular_magnet,Yel,1,TR,0.1061433243999999,0.0
8,W214990205308948,-68.11594835965178,15.030193974959198,69.7298720197764,-0.49161951100036,-0.217076542677862,6.00864233885709,214.412290058221,-0.337700024355784,18.4172361576256,17.9629920914231,17.7628579968047,17.6844313167738,0.0,0.0,0.0,0.0,8.83499276263678,4.4547322515181,0.032159999012947,22.4499748041557,0.0,0.0,8,-66063.2452259696,-14410.1302182495,1,-68093.4,15018.12,-99,P,rectangular_magnet,R08,1,I,8.0,I,-61.83227689339401,6.00864233885709,circular_magnet,Blu,1,TR,0.0255775173599999,0.0
9,W215990913708048,27.353586429434237,32.101601272293486,42.2616080756471,1.46521053629698,4.00808196819344,3.74031387528312,214.821954494124,-0.412706408296651,17.4034121439839,16.9326032160671,16.7312774550862,16.6131549177386,0.0,0.0,0.0,0.0,9.42226931733169,4.0737703421097,0.0388999991118907,21.2254606083031,0.0,0.0,8,26520.9172881044,-31361.5729888855,1,27364.64,32205.9,-99,P,rectangular_magnet,R09,1,I,9.0,N,-173.9503798279169,3.74031387528312,circular_magnet,Blu,1,TR,0.10488282044,0.0
10,W215991143700234,-17.253978472885034,187.13096401513585,187.921695761166,0.0525046308299193,-1.47926251147826,1.53176714230818,214.630250965228,-1.06383464912722,19.7229237889425,19.2458302298823,18.986480151644,18.9631523466699,0.0,0.0,0.0,0.0,8.64643509575292,3.55529889032762,0.0427899993956089,23.2430854980766,0.0,0.0,8,-16804.0802423915,-178516.555416594,1,-17177.18,187135.0,-99,P,rectangular_magnet,R10,1,I,10.0,G,-93.00829375144684,1.53176714230818,circular_magnet,Yel,1,TL,0.0769044511799999,0.0
