PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2025 07 08 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,14 27 41.18,+00 42 19.8 #Field centre
UTTIME,12 19 24.00 #Target observing time
UTDATE,2025 05 25 #Target observing date
PLATEID,G15_T332
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,W218010745307716,9.197063147057266,-202.69361318888056,202.92343599691,3.61042866388919,1.61590690909382,1.99452175479537,216.962277718034,1.5596246406244,16.8888699732832,16.4545321389016,16.2242735852096,16.1215172207176,0.0,0.0,0.0,0.0,9.91027793911015,1.74620952422223,0.0548248402774333,18.9078885837909,,,4,9193.16427567856,193032.168781114,1,9150.89,-202717.0,-99,P,rectangular_magnet,R01,1,I,1.0,F,63.13767532609256,1.99452175479537,circular_magnet,Mag,1,TL,0.05175811476,0.0
2,W218011018004584,-44.13644572687692,-139.3342017233425,146.080600514697,2.02284371647196,1.26352907422274,0.75931464224922,216.73497712248,1.29861194161511,18.3792788877663,17.5844468509529,17.2478581164747,17.0704828239517,0.0,0.0,0.0,0.0,9.83544443345694,2.18331542339243,0.0552599988877773,20.5229039463304,,,4,-42176.7703195251,134043.298805015,1,-44182.81,-139238.72,-99,P,rectangular_magnet,R02,1,I,2.0,E,154.09959243159858,0.75931464224922,circular_magnet,Gre,1,TR,0.1061433243999999,0.0
3,W218000836012761,-8.302172175248167,-63.94743946509249,64.4613387668337,0.969373438994914,1.44187092563466,5.81068782053984,216.886695882668,0.980028518907402,19.2137918932637,18.5740035081942,18.3073693415394,18.2453173408982,0.0,0.0,0.0,0.0,8.61546462324231,3.73555740326819,0.0260600000619888,22.6786552623222,,,8,-7888.33051703625,62043.4452730728,1,-8287.7,-63926.35,-99,P,rectangular_magnet,R03,1,I,3.0,I,-145.54100682649096,5.81068782053984,circular_magnet,Blu,1,TR,0.0255775173599999,0.0
4,W218010408003617,75.30812285830388,-120.5067020879541,142.117668157195,3.96421453709462,2.12895539865783,1.83525913843679,217.243425593587,1.21803295294611,18.7473543321589,18.3948260264751,18.2902339900113,18.2024180826072,0.0,0.0,0.0,0.0,8.4187654679202,2.27512254325132,0.0297699999064207,21.4227246767466,,,4,72732.5841506605,115832.447365821,1,75269.15,-120548.69,-99,P,rectangular_magnet,R04,1,I,4.0,K,42.867237940070936,1.83525913843679,circular_magnet,Gre,1,TL,0.0572875941399999,0.0
5,W218000368612571,82.7055001186394,-60.63016443670123,102.543204948155,3.72471239441694,2.50886323230824,1.2158491621087,217.276236241947,0.964186972665982,17.7680607468926,17.4284852802876,17.3129276604911,17.3164642251353,0.0,0.0,0.0,0.0,8.99153004140197,2.84796795831043,0.0368937104940414,20.9440354563568,,,4,80147.7906800201,58463.2558225119,1,82692.53,-60638.72,-99,P,rectangular_magnet,R05,1,I,5.0,P,56.58969989984209,1.2158491621087,circular_magnet,Gre,1,TL,0.0155377488999999,0.0
6,W218000291010033,97.9634504032334,-11.227356029351572,98.5381402223616,3.64812603700008,3.02699979879953,0.621126238200546,217.340897078853,0.752693373403883,18.452012991177,18.1044447505093,17.9333686408843,17.8970035318914,0.0,0.0,0.0,0.0,8.60868900250799,2.73574924917295,0.0298999994993209,21.5327008757543,,,8,94761.1398207762,10665.7023892776,1,97891.87,-11267.07,-99,P,rectangular_magnet,R06,1,I,6.0,L,60.97777494810862,0.621126238200546,circular_magnet,Gre,1,TR,0.0818593524999998,0.0
7,W218000452608506,66.35493852283703,18.502080934746076,68.9160628529409,-0.292526106763935,3.41324615988336,2.5774130405323,217.206219235572,0.625454081973922,17.33311559581,16.9327470131839,16.7325360688461,16.6503330639856,0.0,0.0,0.0,0.0,9.60096868908674,2.50573223971237,0.0509999990463256,20.1702949990233,,,4,64323.9472392709,-18090.3774738936,1,66388.81,18491.88,-99,P,rectangular_magnet,R07,1,I,7.0,Q,-73.23948868503322,2.5774130405323,circular_magnet,Blu,1,TR,0.0353742283999999,0.0
8,W218000446906435,67.68518663811747,58.85397438938169,89.7182830020559,-0.376486834774063,3.85679934317459,2.04989912923093,217.21096389867,0.452871940892014,18.5358820762376,17.7238902620576,17.3960181699391,17.176208079638,0.0,0.0,0.0,0.0,9.7925124452818,2.10633955717733,0.0559500008821487,20.5844068633236,,,4,65396.2410994177,-57093.9413584048,1,67733.51,58834.87,-99,P,rectangular_magnet,R08,1,I,8.0,T,-68.42889332520701,2.04989912923093,circular_magnet,Blu,1,TL,0.0519627269999999,0.0
9,W218000244507586,107.34283237390711,36.45108588340356,113.276099089743,3.73714555164714,3.46874056375366,0.268404987893483,217.379636721062,0.548779608937419,18.0728873319334,17.3898614637137,17.083846739973,16.870404425587,0.0,0.0,0.0,0.0,9.81983583131825,3.91470974854937,0.0565124116837978,21.5962339821745,,,4,103516.298960012,-35418.8083801433,1,107268.24,36400.54,-99,P,rectangular_magnet,R09,1,I,9.0,D,55.87733246452907,0.268404987893483,circular_magnet,Gre,1,TR,0.0901049863999998,0.0
10,W218000606302821,36.96430760285072,129.92669335797385,135.086010206502,-0.244934807043439,4.4344351479286,1.60381535220755,217.078123782052,0.151712482262158,18.6179093911321,18.1452933359574,17.9357099657051,17.9894881630276,0.0,0.0,0.0,0.0,8.73827133585602,3.49379917650968,0.0304300002753734,22.104657708334,,,8,35374.3747437468,-125155.979008752,1,37066.06,129901.26,-99,P,rectangular_magnet,R10,1,I,10.0,N,-75.96626930055976,1.60381535220755,circular_magnet,Gre,1,TL,0.10488282044,0.0
