PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 12 04 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,02 53 02.92,-31 04 25.1 #Field centre
UTTIME,11 37 19.00 #Target observing time
UTDATE,2023 12 11 #Target observing date
PLATEID,H03_T101
LABEL,1
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,W42690080305707,-152.49166737415493,55.26277969725738,162.259988053226,3.39217287936127,-0.347410501941729,3.739583381303,42.5044538947036,-31.3063759735468,17.9696112151875,17.5897000577791,17.4610682849416,17.3571497176197,0.0,0.0,0.0,0.0,8.5330147552862,6.71217995698401,0.0221430249512195,22.966892697686,0.0,0.0,8,-171244.742882129,-52599.5111171778,1,-152566.17,55243.71,-99,P,rectangular_magnet,R01,1,I,1.0,G,75.64281063385909,3.739583381303,circular_magnet,Yel,1,TR,0.0769044511799999,0.0
2,W44700671704487,95.077949101921,-156.72824513731507,183.326110337449,3.81293169412214,2.11551101070581,1.69742068341634,43.727393338323,-30.4094545415822,16.3599050579011,15.8288781385787,15.5908748974433,15.3536838155948,0.0,0.0,0.0,0.0,9.46176050854795,6.73682937269728,0.0220506377518177,21.2140305597237,0.0,0.0,8,105139.571375854,150104.732506822,1,94994.84,-156794.27,-99,P,rectangular_magnet,R02,1,I,2.0,E,51.53510635513442,1.69742068341634,circular_magnet,Yel,1,TL,0.1061433243999999,0.0
3,W43680463311639,-127.28892752740234,152.04223631764827,198.335148434142,2.9425467981253,-0.873605495099195,3.8161522932245,42.631913688321,-31.7132543107588,18.6171052076663,18.2435707130428,18.0660744998877,18.0509219690223,0.0,0.0,0.0,0.0,8.37461309577085,3.69252897010619,0.0235682185739278,22.3230649512694,0.0,0.0,8,-142438.829524597,-144554.01532709,1,-127344.37,152053.42,-99,P,rectangular_magnet,R03,1,I,3.0,J,101.40448744768644,3.8161522932245,circular_magnet,Mag,1,TR,0.05655919482,0.0
4,W43690513912098,3.715475354649445,-69.65597248601453,69.6752048735617,1.39886877454415,1.62434856531016,6.05770551641358,43.280544225355,-30.7750910643388,18.2718507000496,17.8225886349023,17.6098254380987,17.4592828325218,0.0,0.0,0.0,0.0,8.55277301752148,2.37585030981047,0.0214000009000301,20.944558689111,0.0,0.0,8,4151.67184508697,67470.8783638304,1,3729.48,-69575.32,-99,P,rectangular_magnet,R04,1,I,4.0,L,-170.1492768740173,6.05770551641358,circular_magnet,Blu,1,TR,0.0818593524999998,0.0
5,W43690869503589,-65.47130684608481,96.16662345536145,116.349274858139,3.38906894600805,-0.97279816407053,4.36186711007858,42.9344172722908,-31.4841827704833,17.0926575194617,16.460962972082,16.1579557018594,15.9418655226905,0.0,0.0,0.0,0.0,9.38452257981005,4.11524530381599,0.0229000002145767,20.775816293744,0.0,0.0,8,-74073.0195474222,-92783.847224827,1,-65503.38,96158.52,-99,P,rectangular_magnet,R05,1,I,5.0,S,75.82065291488846,4.36186711007858,circular_magnet,Gre,1,TR,0.0330810095199999,0.0
6,W43700907202464,-176.60094313347565,-117.3122566755547,212.027586976186,-1.20761086433171,0.586623816156215,4.48895062669166,42.3994969227535,-30.5778825308348,13.5374711005944,13.0313002809679,12.8060402438105,12.6716153859258,0.0,0.0,0.0,0.0,9.1251880224134,9.95522872673427,0.0042395996861159,19.26443117584,0.0,0.0,8,-194965.018542852,112040.006935734,1,-176579.61,-117368.39,-99,P,rectangular_magnet,R06,1,I,6.0,B,-20.808994179647584,4.48895062669166,circular_magnet,Mag,1,TR,0.0600504179599999,0.0
7,W42690063107823,-149.30925844654524,13.587259938648206,149.954162562534,2.0478965844252,-0.0910429704795774,2.13893955490478,42.5200711300495,-31.1299734849974,17.3079883752228,16.6228068936967,16.3312070750401,16.0754073472117,0.0,0.0,0.0,0.0,9.44042220035994,3.3795969145832,0.0255999993532896,20.5100061001762,0.0,0.0,8,-167715.247693956,-12732.5487050135,1,-149333.12,13633.42,-99,P,rectangular_magnet,R07,1,I,7.0,T,152.66416883317936,2.13893955490478,circular_magnet,Yel,1,RI,0.0519627269999999,0.0
8,W43680174711328,-69.77401240966356,157.00148258954107,171.851254560544,3.13160600501388,-1.15204031654454,4.28364632155842,42.9147525970821,-31.7383452696892,18.754598808133,18.1157002247444,17.8843147338447,17.6810842771295,0.0,0.0,0.0,0.0,8.65215575190741,3.19736797681111,0.0230000000447034,21.8825380113635,0.0,0.0,8,-78517.2361445889,-150224.572045361,1,-69878.89,157002.53,-99,P,rectangular_magnet,R08,1,I,8.0,N,90.57219281488014,4.28364632155842,circular_magnet,Yel,1,TR,0.10488282044,0.0
9,W44680690010064,49.78503872766086,182.81301799462616,189.480991830836,2.69539116882766,4.44680636726188,4.53177010874537,43.5098588602986,-31.8447096425882,17.9883530935935,17.6284657757266,17.4855007286695,17.3386327067984,0.0,0.0,0.0,0.0,8.52539774953862,4.6066891199679,0.0223029572516679,22.1882849829775,0.0,0.0,8,55976.7793423402,-174262.920320534,1,49733.36,182837.74,-99,P,rectangular_magnet,R09,1,I,9.0,K,115.56546188934112,4.53177010874537,circular_magnet,Yel,1,TR,0.0572875941399999,0.0
10,W44680793008850,29.460789539427875,207.6340793340887,209.715152843147,2.90905309934141,4.57151556861562,4.62072283790538,43.4087170560965,-31.9458427238125,17.1008533554182,16.7317516123225,16.600307934115,16.4615911946047,0.0,0.0,0.0,0.0,8.88920552210081,5.00830258235687,0.0226000007241964,21.4730790910344,0.0,0.0,8,33118.7315926655,-197118.996677226,1,29445.67,207637.66,-99,P,rectangular_magnet,R10,1,I,10.0,P,103.32353502828582,4.62072283790538,circular_magnet,Mag,1,TR,0.0155377488999999,0.0
