Spectrograph,slitlet,position on slit ,Hexabundle or sky fibre,Bundle/plate,no.cores,ring,Fibre_number,COREnum,Bundle_Xc,Bundle_Yc,Coreradius
AAOmega,1,1,Sky,A3,7,0,1,1,0,0,NA
AAOmega,1,2,H,A,169,8,154,154,653.51,-374.1,107.8
AAOmega,1,3,H,A,169,8,153,153,672.17,-261.6,107.99
AAOmega,1,4,H,A,169,8,152,152,691.07,-149.2,107.72
AAOmega,1,5,H,A,169,8,151,151,704.635,-35.85,107.975
AAOmega,1,6,H,A,169,8,150,150,717.835,76.74,107.505
AAOmega,1,7,H,A,169,8,149,149,732.54,190.5,107.98
AAOmega,1,8,H,A,169,8,148,148,742.19,303.73,108.07
AAOmega,1,9,H,A,169,8,147,147,651.91,375.91,107.84
AAOmega,1,10,H,A,169,8,146,146,561.07,446.66,107.6
AAOmega,1,11,H,A,169,8,145,145,471.02,516.65,107.63
AAOmega,1,12,H,A,169,8,144,144,378.015,585.5,108.005
AAOmega,1,13,H,A,169,8,143,143,282.51,655.005,107.78
AAOmega,1,14,H,A,169,8,142,142,190.165,721.85,108.095
AAOmega,1,15,H,A,169,8,141,141,95.865,788.835,107.93
AAOmega,1,16,H,A,169,8,140,140,-11.76,750.68,107.745
AAOmega,1,17,H,A,169,8,139,139,-117.32,708.57,107.97
AAOmega,1,18,H,A,169,8,138,138,-222.055,663.475,107.745
AAOmega,1,19,H,A,169,8,137,137,-327.065,620.315,107.645
AAOmega,1,20,H,A,169,8,136,136,-430.94,574.01,107.73
AAOmega,1,21,H,A,169,8,135,135,-534.08,526.99,107.78
AAOmega,1,22,H,A,169,8,134,134,-638.66,481.03,107.67
AAOmega,1,23,H,A,169,7,97,97,-546.97,412.86,108
AAOmega,1,24,H,A,169,7,98,98,-442.77,458.92,107.62
AAOmega,1,25,H,A,169,7,99,99,-339.1,505.05,107.92
AAOmega,1,26,H,A,169,7,100,100,-233.58,548.945,107.675
AAOmega,1,27,H,A,169,7,101,101,-128.765,592.845,107.89
AAOmega,1,28,H,A,169,7,102,102,-23.4,637.075,107.885
AAOmega,1,29,H,A,169,7,103,103,84.105,675.605,107.845
AAOmega,1,30,H,A,169,7,104,104,176.65,608.32,107.64
AAOmega,1,31,H,A,169,7,105,105,272.725,541.155,107.8
AAOmega,1,32,H,A,169,7,106,106,365.945,472.22,107.69
AAOmega,1,33,H,A,169,7,107,107,455.81,402.06,107.88
AAOmega,1,34,H,A,169,7,108,108,546.61,332.19,107.93
AAOmega,1,35,H,A,169,7,109,109,637.02,261.01,107.6
AAOmega,1,36,H,A,169,7,110,110,626.83,147.2,108.14
AAOmega,1,37,H,A,169,7,111,111,611.555,34.365,107.715
AAOmega,1,38,H,A,169,7,112,112,599.17,-78.54,107.575
AAOmega,1,39,H,A,169,7,113,113,582.78,-191.29,107.58
AAOmega,1,40,H,A,169,7,114,114,564.2,-303.74,107.71
AAOmega,1,41,H,A,169,6,80,80,474.5,-232.97,107.96
AAOmega,1,42,H,A,169,6,79,79,493.18,-120.55,107.74
AAOmega,1,43,H,A,169,6,78,78,505.335,-7.215,107.68
AAOmega,1,44,H,A,169,6,77,77,521.23,105.15,107.61
AAOmega,1,45,H,A,169,6,76,76,531.27,218.82,107.57
AAOmega,1,46,H,A,169,6,75,75,441.095,287.67,107.905
AAOmega,1,47,H,A,169,6,74,74,350.81,357.065,108.025
AAOmega,1,48,H,A,169,6,73,73,261.08,427.275,107.695
AAOmega,1,49,H,A,169,6,72,72,169.005,494.695,107.61
AAOmega,1,50,H,A,169,6,71,71,69.12,562.56,107.855
AAOmega,1,51,H,A,169,6,70,70,-37.725,523.285,107.77
AAOmega,1,52,H,A,169,6,69,69,-143.07,479.095,107.85
AAOmega,1,53,H,A,169,6,68,68,-247.915,434.83,107.725
AAOmega,1,54,H,A,169,6,67,67,-352.48,390.135,107.41
AAOmega,1,55,H,A,169,6,66,66,-456,343.93,108.06
AAOmega,1,56,H,A,169,5,41,41,-365.08,275.59,107.71
AAOmega,1,57,H,A,169,5,42,42,-261.445,321.63,107.515
AAOmega,1,58,H,A,169,5,43,43,-156.415,366.125,107.665
AAOmega,1,59,H,A,169,5,44,44,-50.825,410.01,107.8
AAOmega,1,60,H,A,169,5,45,45,64.68,449.115,107.55
AAOmega,1,61,H,A,169,5,46,46,156.295,381.025,107.72
AAOmega,1,62,Sky,A5,7,0,1,1,0,0,NA
AAOmega,1,63,BLOCK,NA,NA,NA,NA,NA,NA,NA,NA
AAOmega,2,1,Sky,A1,7,0,1,1,0,0,NA
AAOmega,2,2,H,A,169,5,47,47,246.455,311.695,107.855
AAOmega,2,3,H,A,169,5,48,48,336.4,242.53,107.74
AAOmega,2,4,H,A,169,5,49,49,427.165,172.81,107.69
AAOmega,2,5,H,A,169,5,50,50,412.99,59.8733,107.587
AAOmega,2,6,H,A,169,5,51,51,399.743,-53.0733,107.6
