PROXIMITY,220 # tiling proximity value in arcseconds
TILING_DATE,2023 04 14 # Date the tile was created/configured
OBS_TEMP,287.149994
ROBOT_TEMP,287.149994
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0
EQUINOX,J2000.0
CENTRE,12 10 58.87,-00 26 24.5 #Field centre
UTTIME,12 10 48.00 #Target observing time
UTDATE,2023 04 23 #Target observing date
PLATEID,1
LABEL,G12_T021
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,183991199805845,-37.68603669829649,36.41728695755723,52.3335758697168,-0.451244762673409,-0.768736592722961,0.317491830049552,182.583527035376,-0.596275824442924,19.1666510396335,18.6542551299497,18.4865921130016,18.3391887916312,0.0,0.0,0.0,0.0,8.63311764677043,3.64899518488671,0.0348899997770786,22.7079962630951,0.0,0.0,8,-36562.3710116845,-35287.467575592,1,-37616.83,36383.75,-99,P,rectangular_magnet,R01,1,I,1.0,G,-64.1455795714312,0.317491830049552,circular_magnet,Blu,1,TR,0.0769044511799999,0.0
2,182990245107762,-85.44671337106186,-0.8012356794055238,85.4732445129732,1.96884260185347,0.0087265842217796,1.96011601763169,182.379130238348,-0.436532135893015,16.4565358914523,15.7749017176651,15.4684532060586,15.2993906677293,0.0,0.0,0.0,0.0,10.7401487109816,5.32921325959089,0.0785999968647956,20.6510918983441,0.0,0.0,8,-82756.0471400086,814.606036687408,1,-85469.99,-745.88,-99,P,rectangular_magnet,R02,1,I,2.0,B,157.19362838824026,1.96011601763169,circular_magnet,Blu,1,TL,0.0600504179599999,0.0
3,182990030407761,-43.54072010197424,-0.820196234396906,43.5610361670714,1.85066681416309,0.0177553314958985,1.83291148266719,182.558039883194,-0.43660431758623,17.1709609256776,16.3233713415294,15.9698463801427,15.7332357436503,0.0,0.0,0.0,0.0,10.7233651775255,3.52472805550645,0.0820000022649765,20.3018741000453,0.0,0.0,8,-42322.4674048154,798.29297402082,1,-43554.17,-773.4,-99,P,rectangular_magnet,R03,1,I,3.0,R,163.9646022635331,1.83291148266719,circular_magnet,Blu,1,TL,0.04869073126,0.0
4,183981139009230,-26.26211537933452,208.01685636326516,209.67740258613,0.391674426168941,-1.44537358371771,1.83704800988665,182.634118984457,-1.31418219807874,15.7772317507984,14.9408525856815,14.6069275143257,14.3421887986862,0.0,0.0,0.0,0.0,10.5188226140373,3.87512039824632,0.034400001168251,19.1251532693469,0.0,0.0,8,-25128.5905193795,-197534.308017286,1,-26229.42,208030.36,-99,P,rectangular_magnet,R04,1,I,4.0,Q,-112.44129156268868,1.83704800988665,circular_magnet,Mag,1,TL,0.0353742283999999,0.0
5,182990376006183,-111.2007565123477,30.095214920362334,115.172412711474,-0.775745232035504,-0.264166350343025,5.77160642548711,182.270052751801,-0.568118657791858,16.5954925924759,15.6887507072246,15.3340802999959,15.0929490249455,0.0,0.0,0.0,0.0,10.8002035788732,2.53995015358089,0.0628835037350654,18.9557513574195,0.0,0.0,8,-107407.559099636,-28923.9479124511,1,-111177.14,30072.05,-99,P,rectangular_magnet,R05,1,I,5.0,S,-45.55307222696888,5.77160642548711,circular_magnet,Gre,1,TR,0.0330810095199999,0.0
6,183990037607593,191.14767479132692,2.2444762751539247,191.202789271579,0.747364162902554,3.15353272127272,3.87701674880943,183.552041452782,-0.450604097016376,18.2227557466181,17.8670248534373,17.7277147907691,17.613353502313,0.0,0.0,0.0,0.0,8.83818792180295,1.60755770590756,0.0362259298563003,20.1407323930992,0.0,0.0,4,182321.887322071,-2365.65717719218,1,191189.16,2282.92,-99,P,rectangular_magnet,R06,1,I,6.0,J,-132.82081229364408,3.87701674880943,circular_magnet,Yel,1,TR,0.05655919482,0.0
7,182990463800544,-129.74787907296806,141.8279468005691,192.322490220234,2.63364757536108,-0.829677707735893,3.46332528309697,182.196897857525,-1.03801972405647,16.906409626883,16.4239212608728,16.2060703355097,16.0996004675486,0.0,0.0,0.0,0.0,9.87505075862657,3.25046778655768,0.0505999997258186,20.2265252744279,0.0,0.0,4,-123940.565206012,-135121.588888253,1,-129839.52,141878.96,-99,P,rectangular_magnet,R07,1,I,7.0,N,119.10310920694768,3.46332528309697,circular_magnet,Yel,1,TR,0.10488282044,0.0
8,183990683405728,62.593796399215904,38.63541365429956,73.6171682283976,-0.177931355647146,3.69386376086945,2.41139019066299,183.01387575218,-0.606041527818663,15.8756112787571,15.628977650525,15.5457228307951,15.4985143048793,0.0,0.0,0.0,0.0,9.56979788266007,6.88726261885526,0.0351924784481525,21.0620855493832,0.0,0.0,4,60696.4389860238,-37494.5165385091,1,62672.89,38621.19,-99,P,rectangular_magnet,R08,1,I,8.0,A,-79.80528427837731,2.41139019066299,circular_magnet,Blu,1,TR,0.0803623669799998,0.0
9,183990530806709,92.39817117939344,19.52284152583016,94.4519111713511,1.21085814058134,3.35004862530401,4.14399482245692,183.141047274248,-0.524290076654827,16.8558565757977,15.9084310229568,15.5099912018593,15.2241104930112,0.0,0.0,0.0,0.0,10.8990458145936,4.08570935079501,0.0718000009655952,20.2076430474572,0.0,0.0,4,89437.2029733878,-19018.6885754821,1,92407.18,19546.78,-99,P,rectangular_magnet,R09,1,I,9.0,I,-159.37706104436927,4.14399482245692,circular_magnet,Gre,1,TR,0.0255775173599999,0.0
10,183991033708023,-5.383694512010104,-5.902224259482196,7.9385508381568,1.59525191779334,0.82523302433212,0.77001889346122,182.721953537233,-0.414786845507608,17.0170209677657,16.1220100082059,15.72691751384,15.5265516408731,0.0,0.0,0.0,0.0,11.0054717268945,5.31691716288507,0.0952999964356422,20.9931841604212,0.0,0.0,4,-5277.98159200307,5729.04166378938,1,-5385.4,-5832.5,-99,P,rectangular_magnet,R10,1,I,10.0,C,178.59879785029108,0.77001889346122,circular_magnet,Blu,1,TR,0.0697451148799999,0.0
